test	label	depth	prompt_tokens	mode	int8	contexts	valid	prefill_tps	decode_tps	quantized_pct	compress	peak_tokens
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F32	off	1	-	31290.4	246.7	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	1	-	31421.5	249.8	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	1	-	31137.1	247.8	-	-	308
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	4	-	63842.5	961.8	-	-	1272
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	F16	off	60	-	80410.2	4882.1	-	-	18612
quantized_qwen2__test_parallel_batched_forwarding	Qwen2-0.5B-Instruct (dense, Q4_0)	-	-	BF16	off	60	-	78501.9	4877.3	-	-	18612
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	F16	prec	1	✓	24418.8	156.3	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	1	✓	24626.5	156.8	-	-	659
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	BF16	prec	16	✓	36672.6	1978.0	-	-	10618
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	Q8_0	prec	4	✓	35645.1	702.4	100.0%	1.88x	2678
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C0	prec	2	✓	30999.1	349.1	100.0%	1.85x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C1	prec	2	✓	30937.7	359.6	100.0%	2.01x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C2	prec	2	✓	31005.2	361.8	100.0%	2.26x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C3	prec	2	✓	30888.3	368.9	100.0%	2.40x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C4	prec	2	✓	30953.8	364.0	100.0%	2.58x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C5	prec	2	✓	30972.2	354.6	100.0%	2.76x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C6	prec	2	✓	30971.0	349.4	100.0%	2.86x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C7	prec	2	✓	31001.0	360.3	100.0%	3.61x	1358
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	32	✓	36365.4	2357.9	100.0%	3.83x	21202
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C9	prec	5	✓	35215.2	837.6	100.0%	4.08x	3337
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C10	prec	10	✓	37091.7	1420.8	100.0%	4.11x	6640
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	36280.0	3323.7	100.0%	3.83x	169218
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	64	✓	36576.3	2762.0	100.0%	3.83x	42338
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	128	✓	36254.5	3110.4	100.0%	3.83x	84644
quantized_qwen35__test_parallel_batched_forwarding_0_8b	Qwen3.5-0.8B (hybrid dense)	-	-	C8	prec	256	✓	35876.4	3340.6	100.0%	3.83x	169218
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F32	prec	1	✓	13013.4	133.3	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	1	✓	13019.5	133.5	-	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	F16	prec	4	✓	14612.6	479.0	-	-	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	R16	prec	1	✓	13135.1	126.0	0.0%	-	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_0	prec	1	✓	13167.6	134.3	100.0%	1.88x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_Q4	prec	1	✓	13207.5	120.6	100.0%	2.29x	654
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	BF16	prec	4	✓	14236.3	474.8	-	-	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_1	prec	4	✓	14436.0	434.0	100.0%	1.78x	2658
quantized_llama__test_parallel_batched_forwarding_llama3	Llama-3.2-3B (Nidum uncensored, Q4_K_M)	-	-	Q8_KS	prec	4	✓	14427.8	435.7	100.0%	1.78x	2658
